Previous Rank,Weeks on List,ISBN,Price,Author,Title,Rank,List,Week
,,9780385754729,12.99,Markus Zusak,The Book Thief,10,Young Adult,2/14/2018
,,9781524714680,17.99,Karen M. McManus,One of Us Is Lying,11,Young Adult,2/14/2018
,,9780142423622,10.99,Ruta Sepetys,Salt to the Sea,12,Young Adult,2/14/2018
,,9780544340688,9.99,Lois Lowry,The Giver,13,Young Adult,2/14/2018
,,9781484728499,17.99,Dhonielle Clayton,The Belles,14,Young Adult,2/14/2018
,,9781250044662,19.99,Marissa Meyer,Renegades,15,Young Adult,2/14/2018
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,1,Early & Middle,2/28/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,2,Early & Middle,2/28/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,3,Early & Middle,2/28/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,4,Early & Middle,2/28/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,5,Early & Middle,2/28/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,6,Early & Middle,2/28/2018
,,9781484787649,16.99,Ronald L. Smith,Black Panther: The Young Prince,7,Early & Middle,2/28/2018
,,9780545540605,10.99,Raina Telgemeier,Sisters,8,Early & Middle,2/28/2018
,,9780545132060,10.99,Raina Telgemeier,Smile,9,Early & Middle,2/28/2018
,,9780316413206,6.99,Jim McCann,Black Panther: The Young Prince,10,Early & Middle,2/28/2018
,,9780525429999,12.99,Victoria Jamieson,All's Faire in Middle School,11,Early & Middle,2/28/2018
,,9780525429203,16.99,Kimberly Brubaker Bradley,The War I Finally Won,12,Early & Middle,2/28/2018
,,9780545540629,10.99,Raina Telgemeier,Ghosts,13,Early & Middle,2/28/2018
,,9780062414151,16.99,Erin Entrada Kelly,"Hello, Universe",14,Early & Middle,2/28/2018
,,9781250043221,16.99,Katherine Applegate,Wishtree,15,Early & Middle,2/28/2018
1,3,9781616208776,26.95,Tayari Jones,An American Marriage,1,Hardcover Fiction,2/28/2018
2,3,9780312577230,28.99,Kristin Hannah,The Great Alone,2,Hardcover Fiction,2/28/2018
3,8,9780062678416,26.99,A.J. Finn,The Woman in the Window,3,Hardcover Fiction,2/28/2018
5,77,9780670026197,27,Amor Towles,A Gentleman in Moscow,4,Hardcover Fiction,2/28/2018
4,24,9780735224292,27,Celeste Ng,Little Fires Everywhere,5,Hardcover Fiction,2/28/2018
6,7,9780735213180,26,Chloe Benjamin,The Immortalists,6,Hardcover Fiction,2/28/2018
7,21,9781501126062,26,Jesmyn Ward,"Sing, Unburied, Sing",7,Hardcover Fiction,2/28/2018
10,8,9780316547611,26,Naomi Alderman,The Power,8,Hardcover Fiction,2/28/2018
9,4,9780399562457,27,Jojo Moyes,Still Me,9,Hardcover Fiction,2/28/2018
8,21,9780385514231,29.95,Dan Brown,Origin,10,Hardcover Fiction,2/28/2018
15,2,9780525522874,26,Matt Haig,How to Stop Time,11,Hardcover Fiction,2/28/2018
11,21,9781476716732,27,Jennifer Egan,Manhattan Beach,12,Hardcover Fiction,2/28/2018
12,2,9780812995664,27,Amy Bloom,White Houses,13,Hardcover Fiction,2/28/2018
,1,9781501166761,26,Lisa Halliday,Asymmetry,14,Hardcover Fiction,2/28/2018
,14,9780553448122,27,Andy Weir,Artemis,15,Hardcover Fiction,2/28/2018
